"Travaux de construction, BTP",264711
"Matériels médicaux, pharmaceutiques, produits de soins personnels",187077
"Produits alimentaires, boissons, tabac et produits connexes",78206
"Services d’architecture, de construction, d’ingénierie et d’inspection",75980
"Environnement, eau, assainissement, propreté",72507
Services de réparation et d’entretien,67690
Services de transport (à l’exclusion du transport des déchets),65766
"Etudes, conseil, services aux entreprises",56166
Equipement de transport et produits auxiliaires pour le transport,54934
"Meubles, aménagements, électroménager, produits de nettoyage",47649
Services financiers et d’assurance,47590
Education et formation,36039
"Matériaux et structures de construction, produits pour la construction",30040
"Machines, matériel et fourniture informatique et de bureau",29385
"Services de technologies de l’information, conseil, développement de logiciels, internet et appui",23040
Agriculture et espaces verts,20595
"Appareils, équipements, consommables électriques et d’éclairage",17194
Services des postes et télécommunications,15888
"Vêtements, articles chaussants, bagages et accessoires",14182
Imprimés et produits connexes,13449
"Equipements de laboratoire, d’optique et de précision",12515
Service d’hébergement et de restauration,12460
"Appareils radio, télévision, communication, télécommunication",11938
Produits chimiques,11894
"Arts, spectacle, divertissements, sport",11527
Services de santé et d’action sociale,11318
Machines industrielles,10229
Logiciels et systèmes d’information,7581
"Equipement de sécurité, lutte contre l’incendie, police et défense",6714
"Autres services communautaires, sociaux et personnels",5899
"Instruments de musique, articles de sport, jeux, artisanat, arts",5033
"Services de l’administration publique, défense, sécurité sociale",4156
"Services d’appui dans les transports, services des agences de voyage",3640
"Produits cuir et textiles, plastique, caoutchouc",3415
Machines agricoles,3238
"Equipement minier et carrières, matériel de construction",3097
Exploitation minière et minerais,2874
Services publics,2724
Services immobiliers,2231
Services d’installation,1428
"Services de R&D, services de conseil connexes",1358
Eau collectée et purifiée,460
Services relatifs à l’industrie du pétrole et du gaz,219
