"Travaux de construction, BTP",265727
"Matériels médicaux, pharmaceutiques, produits de soins personnels",188222
"Produits alimentaires, boissons, tabac et produits connexes",78745
"Services d’architecture, de construction, d’ingénierie et d’inspection",76483
"Environnement, eau, assainissement, propreté",70710
Services de réparation et d’entretien,68140
Services de transport (à l’exclusion du transport des déchets),65967
"Etudes, conseil, services aux entreprises",56469
Equipement de transport et produits auxiliaires pour le transport,52482
"Meubles, aménagements, électroménager, produits de nettoyage",47859
Services financiers et d’assurance,47759
Education et formation,36196
"Matériaux et structures de construction, produits pour la construction",30188
"Machines, matériel et fourniture informatique et de bureau",27568
"Services de technologies de l’information, conseil, développement de logiciels, internet et appui",23193
"Energie, gaz, fluides et services connexes",22156
Agriculture et espaces verts,20707
Services des postes et télécommunications,15958
"Vêtements, articles chaussants, bagages et accessoires",14233
"Appareils, équipements, consommables électriques et d’éclairage",13693
Imprimés et produits connexes,13481
"Equipements de laboratoire, d’optique et de précision",12600
Service d’hébergement et de restauration,12547
Produits chimiques,12073
Services de santé et d’action sociale,11354
"Arts, spectacle, divertissements, sport",10705
"Appareils radio, télévision, communication, télécommunication",10540
"Produits agricoles, élevage, pêche, sylviculture et connexes",10329
Machines industrielles,10328
Logiciels et systèmes d’information,7628
"Equipement de sécurité, lutte contre l’incendie, police et défense",6767
"Autres services communautaires, sociaux et personnels",5984
"Instruments de musique, articles de sport, jeux, artisanat, arts",5040
"Services de l’administration publique, défense, sécurité sociale",4167
"Services d’appui dans les transports, services des agences de voyage",3662
"Produits cuir et textiles, plastique, caoutchouc",3450
Machines agricoles,3252
"Equipement minier et carrières, matériel de construction",3118
Exploitation minière et minerais,2883
Services publics,2797
Services immobiliers,2246
Services d’installation,1441
"Services de R&D, services de conseil connexes",1365
Eau collectée et purifiée,463
Services relatifs à l’industrie du pétrole et du gaz,219
